id,title,likes,views,engagement_rate,log_likes
71,the peak of Japanese cruelty in World War II: Cannibalism! The ferocious barbarism is breathtaking! # WW2 # Japanese atrocities,57000,1007000,0.0566,4.7559
72,Mutant Celestial Selection Round 3 must become the Corpse King? # Mutants Match,23000,2856271,0.00805,4.3617
73,this time Dudu is really back,198000,4267000,0.0464,5.2967
74,handsome boy greedy northeast food for a long time,60000,1392683,0.04308,4.7782
75,if life is a game,30000,547000,0.05484,4.4771
76,# Young doctor this woman is really too angry,427000,27960325,0.01527,5.6304
77,with science and technology to break the Mid-Autumn Festival # King glory # Hugh Wen Su Lie # game where the star plan,75000,1073000,0.0699,4.8751
78,# Ronaldo Segu rhythm type point guard a boy who makes Morant happy # Basketball new generation # Star Story,11000,90000,0.12222,4.0414
79,I want to live like this! # heal # happy # good,619000,6242000,0.09917,5.7917
80,a few small life of good people,35000,6096000,0.00574,4.5441
81,#2022 Photosynthesis Creators Conference,33000,548000,0.06022,4.5185
82,the boss wine party does not take his wife,20000,2824000,0.00708,4.3011
83,# Quickcomics # Comics commentary town that pays for body parts in exchange for stuff.,33000,1077000,0.03064,4.5185
84,# Playaround Summer and # Sakura Campus Simulator # Sakura Campus Simulator Updated Sakura Campus Simulator: Take stock of Sakura School you didn't know the operation,18000,334928,0.05374,4.2553
85,White beauty and North North each other,12000,201000,0.0597,4.0792
86,Dharma VS Yuan song # King Glory # Bald monk Dharma,39000,1764000,0.02211,4.5911
87,Look at the top and how the agents strike when the enemy isn't even aware. # Rally Photosynthesis creators # New Photosynthesis Project # Video commentary,34000,6460800,0.00526,4.5315
88,the peace elite the most short rifle debut! Fire sound is very small,69000,2161678,0.03192,4.8389
89,love Luban,17000,203000,0.08374,4.2305
90,space merchant Dory # Primal God # The dawn of a thousand Roses,40000,620000,0.06452,4.6021
91,Bear Ridge strong brother buy melon!! # Little Lee Bear-boondoggle # Bear-boondoggle # conquer,93000,854000,0.1089,4.9685
92,# home to read comics # Spring Day strike # Good boy you will forgive the teacher,119000,2235000,0.05324,5.0756
93,when Tyson suddenly appears behind you,160000,2938080,0.05446,5.2041
94,No one messes with the Courier # Jason Statham # DeathExpress # Movie commentary,11000,1916124,0.00574,4.0414
95,move new home Da Sha get a mysterious gift to celebrate the housewarming mother-in-law personally send red envelopes? # Fighting nation # Russian rural love story,70000,3313000,0.02113,4.8451
96,flat features + dull looks + square face? Hand to teach you light makeup ideas,29000,1168398,0.02482,4.4624
97,in fact,37000,2562000,0.01444,4.5682
98,a person's night 🏠 snack chase drama to entertain themselves ✨ good look forward to summer # solo girl daily life,44000,1310000,0.03359,4.6435
99,the inventory against the square dance aunt name scene,44000,2353826,0.01869,4.6435
100,the English teacher is not intentional......,199000,9187635,0.02166,5.2989
101,# summer blow is really gourd baby to save grandpa ah one by one,18000,574000,0.03136,4.2553
102,#GDPM #Chihiro Iceberry Club # Ladybug Original: Column,13000,120000,0.10833,4.114
103,# Photosynthetic Creators Conference 2022 # National Treasure Panda # China National treasure Giant Panda rent 7 million a year,13000,420000,0.03095,4.114
104,# movie exorcism Heavenly master see beauty in the painting,105000,6234000,0.01684,5.0212
105,I have seen all of you before,15000,265294,0.05654,4.1761
106,# Cat on the balcony [The world is so beautiful because there are warm people] # our blues # Fast film new hot plan,44000,948000,0.04641,4.6435
107,Ye Gong Ji the second episode,27000,460000,0.0587,4.4314
108,Turkey noodles 2 times spicy ❗️❗️ today eat spicy fried chicken feet Turkey noodles # Turkey noodles # eat sowing daily # boneless chicken feet,29000,780000,0.03718,4.4624
109,officially take the new version of important reminder: ghost jump is still available,29000,543000,0.05341,4.4624
110,How does the wild know where it is? # science # Child safety # Lightdiffuse program,18000,1255000,0.01434,4.2553
111,the old man is very lonely but complete a couple,11000,767575,0.01433,4.0414
112,thought the non-mainstream three giants Xu Liang cool,20000,490000,0.04082,4.3011
113,I have a feeling that Silver Grid Three is going to play Segar Ultraman,67000,794000,0.08438,4.8261
114,# fast film and television hot plan uncle nightclub saved the girl,16000,2003995,0.00798,4.2041
115,# Refueling mother Lu Chuan always put Nan Nan and small Yang in the first place! # Kuaishou film and television new hot plan,53000,3073245,0.01725,4.7243
116,Among Us laughing animation: This big worm actually not dead this time also brought a lot of help to deal with ah,119000,5258000,0.02263,5.0756
117,white worry fly from the gold wind whisper upstairs jumped,16000,402014,0.0398,4.2041
118,the female master in the whole play ah,96000,2202034,0.0436,4.9823
119,It is said that there are monsters living in books. They feed on words. # anime # anime recommended # 2 Yuan,16000,444000,0.03604,4.2041
120,We wind the little boy really can get along!! # Primordial God # Summer Smash # Original song,89000,502000,0.17729,4.9494
121,Plants vs. Zombies: After Plants become Animals! Will the original attack still exist?,17000,274860,0.06185,4.2305
122,Bangor is not gaining ground,47000,685141,0.0686,4.6721
123,how many mistakes are there to help players? Don't limit yourself! # Kinghonor # Assist # Hundred-mile Covenant Keeping,39000,1121000,0.03479,4.5911
124,the challenge to buy all the convenience store ice cream assassins,55000,1301739,0.04225,4.7404
125,Xiao Yan broke through the town ghost pass after the success of leaving the Gamma Empire,29000,983000,0.0295,4.4624
126,the canyon six combination of mobile skewer machine # king # canyon six combination # old back to black technology,93000,4500000,0.02067,4.9685
127,is not the king of a person,889000,5744000,0.15477,5.9489
128,# Skinny old man not inspired lately,75000,380000,0.19737,4.8751
129,children admitted to the university a few happy a few worries # upstream # Fast entertainment Star Yi plan seventh phase # spring play plan single,129000,5824000,0.02215,5.1106
130,【 Famous Tour Agency 】 Space werewolf kill: The battle of the gods! I am Dr. Jekyll and Mr. Hyde! #amongus# SpaceWerewolf Kill,10000,247659,0.04038,4.0
131,Chengdu Auto Show five monsters (2) : these god cars who don't love! # Chengdu International Auto Show 2022 # Quick look at the new car program,15000,679000,0.02209,4.1761
132,# CanglanMojin # Wang Hedi # Yu Shuxin,37000,369000,0.10027,4.5682
133,Sakura Campus simulator: Take stock of things that Sakura School was played bad,80000,1646000,0.0486,4.9031
134,Chief's exclusive favor: Wake up BOSS by your side # Haruhi Strike # Quickhand Power,44000,1042000,0.04223,4.6435
135,Minecraft: Opening selection identity,18000,220000,0.08182,4.2553
136,Play this segment as if there are ants crawling on your body... # Tangod Dawn # funny,14000,240000,0.05833,4.1462
137,Old Rip Chicken: Finally got cast off after a month of injury and had to celebrate with an avocado! # Oldtear Chicken #vlog,28000,474497,0.05901,4.4472
138,instead of running away from the opponent,71000,1107000,0.06414,4.8513
139,10 yellow spicy diced,14000,1298000,0.01079,4.1462
140,[travel food Guiyang] full of meat iron plate cautery pot VS egg bag sticky rice plus crisp whistle,15000,548302,0.02736,4.1761
141,how much does Shura God like Tang SAN,195000,4528000,0.04307,5.29
142,# chasing drama a summer Situ Haonan with Chen Haonan completely torn face,33000,3586000,0.0092,4.5185
143,take stock of those full level animation! # anime # funny videos # Manchurian,29000,384000,0.07552,4.4624
144,Flower hand flow Houyi: 1 second 10 arrows,12000,243912,0.0492,4.0792
145,Blast time! ... Didn't blow up? # Naruto # Naruto mobile games,120000,2787000,0.04306,5.0792
146,200 meters up with a hit KillTurtle Pai Qigong! Fortnite Action Dragon Ball! # Fortnite # Dragonball,102000,2832804,0.03601,5.0086
147,one person drive outdoor camping,87000,8086000,0.01076,4.9395
148,Jun Changming worship Yun Depart Song # sand sculpture animation,10000,211000,0.04739,4.0
149,Senren door may be underrated in the current dueling arena,10000,177027,0.05649,4.0
150,Rayan sauce sweet ✨ # bump world # Rayan # Painting slag this slag touch fish,14000,58000,0.24138,4.1462
151,her smile,19000,393000,0.04835,4.2788
152,episode 239 | Doraemon: Blue Fat Man broke his heart to help Nobita practice swimming # Photosyncreators 2022 # Doraemon # Summer Smash,79000,3704140,0.02133,4.8976
153,It's so annoying to be in arrears with the villagers' hard-earned money...,10000,1159802,0.00862,4.0
154,ha ha ha ha! The Kinro family ~,18000,196000,0.09184,4.2553
155,bear children destroyed my hand,17000,362299,0.04692,4.2305
156,Zhong Kui: I can't stand watching for a long time,11000,497000,0.02213,4.0414
157,# Fifth personality # Opposite King Jiji,33000,399000,0.08271,4.5185
158,She,23000,358000,0.06425,4.3617
159,Kobe and Vanessa love story,36000,492210,0.07314,4.5563
160,18 year old uncle adopted three nieces,52000,1139126,0.04565,4.716
161,single women's social animal life,11000,253000,0.04348,4.0414
162,# I'm here to update # Demon Covenant,30000,272622,0.11004,4.4771
163,Chicken tastes bad now because there's a lot of dirt,22000,469000,0.04691,4.3424
164,Yeluo's X Dragon teased Sword Lingyu,11000,349000,0.03152,4.0414
165,(misunderstanding to) is this the true portrayal after breaking up? # anime # anime recommendation # Haruhi Blow,306000,4438000,0.06895,5.4857
166,# Assemble Photosynthetic creators # captives of food # Deadly crisis in the body of Summer Smash elephant,19000,1741164,0.01091,4.2788
167,# edge round 081 today is too domineering,70000,798000,0.08772,4.8451
168,# rumoured Chen Qianqian Qianqian back to the real world! Is the Best Actor Han really Han Shuo? A little confused 😮,13000,729774,0.01781,4.114
169,having a cute and sweet girlfriend is really exciting...,47000,647567,0.07258,4.6721
170,finally to Zhou Shiheng revenge # summer hit # comic recommendation # comic commentary,24000,520000,0.04615,4.3802
171,Retro bedroom makeover is complete,59000,3098000,0.01904,4.7709
172,The Daily Life of God King 115 the best actor Little Black Black debut,15000,349000,0.04298,4.1761
173,Boss Hu is about to return,11000,669000,0.01644,4.0414
174,April new: excellent students and Miss daughter # set it photosynthesis creator # spring storm hit # cuckoo's engagement,124000,2507000,0.04946,5.0934
175,wide brother mistakenly thought that was expelled from the release of self # forest deep see deer # forest deep see deer,14000,1231159,0.01137,4.1462
176,head you are too baby,29000,440000,0.06591,4.4624
177,China Post so slow,39000,699000,0.05579,4.5911
178,# anime # Pigpigman # Childhood anime childhood memories,46000,1408141,0.03267,4.6628
179,Light up Crystal hearts with the light and love in your hearts.# Polaris Editing team # Little Marpolly,41000,1296252,0.03163,4.6128
180,Your Excellency is one of the strongest men I have ever seen. # Fuchsbau Little Matchmaker # Kingdomdom,47000,709000,0.06629,4.6721
181,that's not what I meant 🥹 # lightmeets Breaking dawn season # Lightmeets Breaking Dawn Mutual aid relay # Lightmeets,11000,93000,0.11828,4.0414
182,my husband was impressed the first time he ate this # clear noodle soup I made! You can eat a few bowls of this delicious noodles # Family food tutorial # Follow Kuaishou to learn cooking,129000,4131000,0.03123,5.1106
183,episode 21 | The seemingly weak queen is actually the strongest character in the manga # Manga commentary # Manga Recommendations # 2 Originals,123000,1862213,0.06605,5.0899
184,If you like to steal home,12000,292000,0.0411,4.0792
185,☑️ challenge Hengshui Middle school work and rest,83000,5661000,0.01466,4.9191
186,# in the fast hand to see the sea for the first time to be able to shrink into a ball of small sea cucumbers,257000,6456781,0.0398,5.4099
187,the wind and the clouds against the # Confused children series # movie commentary,14000,535000,0.02617,4.1462
188,if two people like you at the same time,13000,301000,0.04319,4.114
189,you can do anything wrong,101000,1083000,0.09326,5.0043
190,experience new changes critical attack equipment has been adjusted! The inscription has been changed! # Kingglory # GloryFirefly Project,20000,681000,0.02937,4.3011
191,beauty design temptation manager did not expect the manager in the trap,43000,6833346,0.00629,4.6335
192,no practice,16000,386552,0.04139,4.2041
193,a game win or lose,37000,763155,0.04848,4.5682
194,during the day dry barbecue night to play Ma Chao,13000,678000,0.01917,4.114
195,Ranking cp Competition - What will my wife do # King Glory # Glory Firefly plan,104000,1098000,0.09472,5.017
196,the longer the ugly house area is larger,28000,957000,0.02926,4.4472
197,autistic lawyer unemployed at home,52000,1807030,0.02878,4.716
198,meha tour is really too thin,22000,452000,0.04867,4.3424
199,# original God # drought dream hide Yuyuan original God in the advanced operation skills,116000,1838516,0.06309,5.0645
200,this is the most cool I shouted a # peace elite create paradise # peace elite # eat chicken daily,58000,621000,0.0934,4.7634
201,this description of daily,25000,384000,0.0651,4.398
202,the most detailed network! Quickly take you to understand the role of training Bennett # original God # Original God Walkthrough # Bennett,122000,1806789,0.06752,5.0864
203,5 pounds of fat sausage a duck,15000,575000,0.02609,4.1761
204,I come to chase you,22000,727823,0.03023,4.3424
205,in fact,18000,526969,0.03416,4.2553
206,this big brother's aura is really strong ah (play the thirteenth day of the original God) # the original God # food and love to play,19000,505000,0.03762,4.2788
207,[original God whole life] Wife too much trouble # original God # original God whole life # whole life,32000,395000,0.08101,4.5052
208,# concave and convex world dub actor # Teak Suanzi production # serious ooc apology concave and convex world dub actor is my biggest misunderstanding of concave and convex world,12000,116769,0.10277,4.0792
209,don't say the dog is cute! It's immoral! #vr#vrchat# funny,82000,884000,0.09276,4.9138
210,babies,17000,763157,0.02228,4.2305
211,Inspector. Mobile Arsenal. At least 10 tons lighter after a fight,24000,747068,0.03213,4.3802
212,Jackie Chan's global live debut,58000,3120346,0.01859,4.7634
213,the bike is about to officially go live,82000,1876000,0.04371,4.9138
214,Doraemon: Fat Tiger's microphone was broken in the park,11000,576704,0.01907,4.0414
215,today teach mage sister how to play bomb kitten,357000,3425000,0.10423,5.5527
216,the rural guy came back from work,104000,12366618,0.00841,5.017
217,you can laugh off three thousand feet 🌚 (or as always do not know the original 🌚💦 # concave and convex world funny dubbing #ooc apologize # do not know the original # Ruijin ❤️ :,243000,1879000,0.12932,5.3856
218,the second set of the European emperor to draw the SR level system,11000,237000,0.04641,4.0414
219,Autumn sister's that is really laugh spray # bump world Season 4 Episode 9 # funny # sugar pot exclusive hashtag,32000,232651,0.13755,4.5052
220,poor guy found a mountain full of rosewood,116000,10858570,0.01068,5.0645
221,# Rivers and mountains so many Jiao side in trouble,36000,1752000,0.02055,4.5563
222,what are you like when you're unhappy? The end of emotions is not swear words # Luo Xiang # emotional radio # life sentiment,15000,178000,0.08427,4.1761
223,back to the Russian farm yard mother-in-law: you come back I am so happy! # Russland love story # Life abroad,26000,770442,0.03375,4.415
224,I don't know about you,96000,1225836,0.07831,4.9823
225,who the hell is the Bathroom Singer ceiling? The tuner quit overnight after hearing the reverb was too strong,57000,347204,0.16417,4.7559
226,Use 26 keys to type ASDFGHJKL and see what you've typed # Romeo and Juliet # Love at sunset at dusk,101000,621000,0.16264,5.0043
227,It's too hard for Spider-Man to go see his own movie! # Fast Entertainment Starlight Project # 7 # Movie commentary # Funny Things,68000,5541647,0.01227,4.8325
228,found his wife cheating,12000,598000,0.02007,4.0792
229,Hu Ge circle friends all kinds of fancy urge marriage name scene # Hu Ge # male God # name scene,468000,14568000,0.03213,5.6702
230,five hundred years after the snake king was sealed,22000,3176000,0.00693,4.3424
231,Have you seen the two lovers' Easter eggs by Ganghand and Selaiya? The videos behind the stir-fry are completely improvised,73000,1792000,0.04074,4.8633
232,called fish but not fish? Hot weather no appetite,34000,1470796,0.02312,4.5315
233,brother's daughter-in-law with friends home,14000,1111520,0.0126,4.1462
234,that ye stupid loyalty ah! # Old tavern # I'm catching up on a good show #2022 Photosynthetic Creators Conference,66000,3065351,0.02153,4.8196
235,babies,33000,924194,0.03571,4.5185
236,We'll find all the mysteries of the universe in someone's hands # Nature # Healing # Costume matching,40000,489000,0.0818,4.6021
237,Don't laugh at me when I make a mistake on the air,77000,2103867,0.0366,4.8865
238,Yue Yue: Big brother,19000,1115931,0.01703,4.2788
239,this should be able to learn it # dream Qi # King glory dream Qi # Henan dialect,51000,912000,0.05592,4.7076
240,Through the novel when the heroine,60000,1291906,0.04644,4.7782
241,Black Eight Business vlog| We fired the boss!! This is the first video of the black eight team set up business,688000,14949000,0.04602,5.8376
242,for foreign invaders,19000,557000,0.03411,4.2788
243,wingman not enough,17000,532840,0.0319,4.2305
244,# Ultraman's Day #MYG Eddy # Little Yan commentary first view,36000,2740754,0.01314,4.5563
245,from Xuanzong's sense of oppression. # History # Superburning mix cut,11000,219000,0.05023,4.0414
246,welcome back to our white turntable challenge,39000,873399,0.04465,4.5911
247,both sides copy the question,181000,9492063,0.01907,5.2577
248,XDM I just want to make you happy. # KingGlory Gu Xuan,19000,337000,0.05638,4.2788
249,four historical terriers,257000,3699000,0.06948,5.4099
250,# See the world in fast hands # Vietnam # record real life Domestic large brand electrical appliances in Vietnam opened a factory to produce their own local sales,108000,15692591,0.00688,5.0334
251,Liu Jinfeng called Bai Yu love concubine,21000,441013,0.04762,4.3222
252,Ma Changshun's wish has finally come true # Jiangshan so much Jiao # I am in fast hands to catch up with the play # fast hands screening room,18000,802754,0.02242,4.2553
253,graduate students a day of eating records,117000,1040000,0.1125,5.0682
254,don't get lost in panic create miracles in adversity. # Xiaoxin # Li Xin # King Glory Li Xin kill show,95000,3903000,0.02434,4.9777
255,High burn moment Soldier boy VS fellow countryman # black-rotund picket # Newman report,24000,458000,0.0524,4.3802
256,1/3 single hundred years of vampires,15000,632405,0.02372,4.1761
257,break up is not terrible,20000,744000,0.02688,4.3011
258,Novice Ace Crash Course: Sensitivity teaching without open lens (sliding screen) # Peace Elite # Novice Ace Crash course # Sensitivity without open lens,57000,471000,0.12102,4.7559
259,morally kidnapped neighbor rubs heat ~ What else can be done to treat her? # Ethickidnapping # sandsculpture animation,68000,2993424,0.02272,4.8325
260,King Mastermind Do you look at this? # Kingsglory # Kingsgame,62000,2310294,0.02684,4.7924
261,is preparing for their own special field,12000,538000,0.0223,4.0792
262,the opening of a wet nurse Mulan Great Wall guard army all by picking up # King Glory second Yuan incentive plan # Summer strike,38000,689922,0.05508,4.5798
263,not afraid of bad villain bad,54000,408000,0.13235,4.7324
264,have you seen the supreme Dao body that can be obtained by signing on the cliff and facing the wall? # sand sculpture animation # sand sculpture fairy animation,12000,304000,0.03947,4.0792
265,that group is your yearning cp # power generation plan # summer strike,19000,222000,0.08559,4.2788
266,The Simpsons: The current art gene # Simpsons # Summer Smash # Assemble Photosynthesis creators,72000,1738000,0.04143,4.8573
267,Silly is back in my bag for the new version of the Mutants,58000,1827321,0.03174,4.7634
268,April new: love and fiancee become good friends # Set photosynthesis creator # Spring strike # Cuckoo's engagement,57000,872000,0.06537,4.7559
269,boyfriend play games ignore me how to do? It doesn't matter,55000,885835,0.06209,4.7404
270,will go back to their own home tomorrow,25000,1190485,0.021,4.398
271,Episode 5 | really torture ah! Rogue aunt robbed me ten million luxury car show off,164000,3094000,0.05301,5.2148
272,Actually,59000,436000,0.13532,4.7709
273,what is Luffy's ultimate dream? (Part 2 of 2) Reveal one of the ending Foreshadows of One Piece! What's the meaning of a well-fed world? # OnePiece # Luffy,11000,230000,0.04783,4.0414
274,suspense skit. Did you get a chill at the end? # Fast Hands film hot plan # Fast Hands screening room,25000,4158000,0.00601,4.398
275,should not give them a picture of the ungrateful whip I can whip my master you all have ga # peace elite # single line of God of war # near power,13000,330155,0.03938,4.114
276,#starry school team #timimg heart has party results skyrocketing yc,56000,931000,0.06015,4.7482
277,Siro inherits Noah's Shield! Victory over Beria! # Beria Ultraman # Ultraman # Summer Smash,26000,1006511,0.02583,4.415
278,Xiang Hao game commentary: explosion hunting bow how many arrows,79000,3029877,0.02607,4.8976
279,crooked chef roast whole cow skeleton to the father-in-law,47000,2484000,0.01892,4.6721
280,scheming woman jealous Liu Fei gave birth to the prince,16000,1567270,0.01021,4.2041
281,the national table tennis history of the upsets: Xu Xin chasing 7 ball reversal,19000,866000,0.02194,4.2788
282,the upper limit of the mirror (1.0) # mirror # phantom mirror,10000,245000,0.04082,4.0
283,5G Internet speed is fast # Armor Warrior # Armor Warrior transformation # Armor,14000,674000,0.02077,4.1462
284,# elephants # protect animals # Moonteam protect wild animals. Everyone's responsibility!,30000,1228000,0.02443,4.4771
285,# Tianguan blessing # Xie Lu just feel this song lit,19000,101000,0.18812,4.2788
286,the bear child bullied the little girl and turned himself into a fool,10000,183257,0.05457,4.0
287,Star Armor: Just because the crowd looked at you one more time,68000,1017000,0.06686,4.8325
288,downwind and headwind are a thought between; In me,29000,750000,0.03867,4.4624
289,luckiest man in the world,15000,716000,0.02095,4.1761
290,gray uncle can be promoted wherever he goes #2022 Photosynthesis Creators Conference # Pleasant Goat and Gray Wolf # Animation,38000,1107453,0.03431,4.5798
291,the new hero Goya scraping status,20000,1117336,0.0179,4.3011
292,the male master has nothing to practice an arrow,18000,369035,0.04878,4.2553
293,Bone Kings Season 4 Episode 1 # Anime # Bone Kings # Summer Smash,16000,406715,0.03934,4.2041
294,Trump: I'm on a flywheel to save my life. Who's the striker? # Fifth personality # Fifth personality summer rendition # looking for NetEase creator,24000,489000,0.04908,4.3802
295,you are afraid of the ghost,51000,2342007,0.02178,4.7076
296,bear-infested monster project Genius will be the operation of # bear-infested # bear-infested monster project 2,45000,506000,0.08893,4.6532
297,cowardice on the outside,46000,2296000,0.02003,4.6628
298,Learn to play with the brain -2: How to smarter defense & rebound # basketball skills # basketball dry goods # basketball teaching,23000,196000,0.11735,4.3617
299,cool cool sour hot spicy sauce cold PI with thin skin filling big door nail Patty is simply,13000,722000,0.01801,4.114
300,(the second set) in order to cure his father's hands # I am in the fast hand to catch up with good drama # HD 60 frames,20000,1955000,0.01023,4.3011
301,your uncle pet her,54000,516000,0.10465,4.7324
302,the scary thing is this is not a dream # comic commentary # Destroywarrior # Wings of Freedom,25000,584000,0.04281,4.398
303,the longest elephant migration in the history of history,18000,626000,0.02875,4.2553
304,We all know Jabbar is a tearjerker # One Piece # Jabbar,22000,232793,0.0945,4.3424
305,travel to China on a budget by an electric car with a range of 450KM,13000,2166858,0.006,4.114
306,must not let the red flag fall # I am in fast hands to catch up with the good play # fast film talent,71000,5304184,0.01339,4.8513
307,too like,158000,1045000,0.1512,5.1987
308,and wronged dad 🌚💦 # Yixuan exclusive tag # entertainment # twist waist,130000,1677000,0.07752,5.1139
309,based on the true story,10000,440000,0.02273,4.0
